@TIME,VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
0.0,2.0,3.0,0.0,0.5,1.530558,-2.4e-13,3.08942e-07,-3.07879e-07
60.0,2.0,3.0,0.0,0.5,1.53105,8.2e-13,2.46548e-07,-2.46539e-07
120.0,2.0,3.0,0.0,0.5,1.530666,1.4e-12,2.30066e-07,-2.30085e-07
180.0,2.0,3.0,0.0,0.5,1.53046,2.7e-13,2.1837e-07,-2.18389e-07
240.0,2.0,3.0,0.0,0.5,1.529998,2.29e-12,2.08981e-07,-2.08993e-07
300.0,2.0,3.0,0.0,0.5,1.529614,-7.1e-13,2.00677e-07,-2.00704e-07
360.0,2.0,3.0,0.0,0.5,1.529202,-4.4e-13,1.93354e-07,-1.93366e-07
420.0,2.0,3.0,0.0,0.5,1.5288,8e-13,1.86734e-07,-1.86725e-07
480.0,2.0,3.0,0.0,0.5,1.528502,2.9e-13,1.80509e-07,-1.80501e-07
540.0,2.0,3.0,0.0,0.5,1.528102,1.22e-12,1.74762e-07,-1.74765e-07
600.0,2.0,3.0,0.0,0.5,1.527764,-4.9e-13,1.69393e-07,-1.69398e-07
660.0,2.0,3.0,0.0,0.5,1.52745,1.24e-12,1.64256e-07,-1.64285e-07
720.0,2.0,3.0,0.0,0.5,1.527158,6.5e-13,1.59385e-07,-1.59414e-07
780.0,2.0,3.0,0.0,0.5,1.526826,1.11e-12,1.54949e-07,-1.54966e-07
840.0,2.0,3.0,0.0,0.5,1.52653,-4.2e-13,1.50661e-07,-1.50662e-07
900.0,2.0,3.0,0.0,0.5,1.52627,-1.17e-12,1.46646e-07,-1.46669e-07
960.0,2.0,3.0,0.0,0.5,1.526032,-7.1e-13,1.42707e-07,-1.42722e-07
1020.0,2.0,3.0,0.0,0.5,1.52592,-6.1e-13,1.38888e-07,-1.38892e-07
1080.0,2.0,3.0,0.0,0.5,1.525416,-6.7e-13,1.3543e-07,-1.35428e-07
1140.0,2.0,3.0,0.0,0.5,1.525224,-1.19e-12,1.31997e-07,-1.31989e-07
1200.0,2.0,3.0,0.0,0.5,1.525046,-4.6e-13,1.28704e-07,-1.28741e-07
1260.0,2.0,3.0,0.0,0.5,1.5248,-2.02e-12,1.25583e-07,-1.25585e-07
1320.0,2.0,3.0,0.0,0.5,1.524472,5e-14,1.22609e-07,-1.22627e-07
1380.0,2.0,3.0,0.0,0.5,1.524178,3.2e-13,1.1978e-07,-1.19765e-07
1440.0,2.0,3.0,0.0,0.5,1.523974,-1.8e-13,1.16964e-07,-1.16984e-07
1500.0,2.0,3.0,0.0,0.5,1.523888,4.3e-13,1.14217e-07,-1.14225e-07
1560.0,2.0,3.0,0.0,0.5,1.52355,-7e-14,1.11623e-07,-1.11633e-07
1620.0,2.0,3.0,0.0,0.5,1.52333,9.2e-13,1.09158e-07,-1.09167e-07
1680.0,2.0,3.0,0.0,0.5,1.523184,-1e-14,1.06658e-07,-1.06657e-07
1740.0,2.0,3.0,0.0,0.5,1.522948,-1.94e-12,1.04344e-07,-1.04342e-07
1800.0,2.0,3.0,0.0,0.5,1.522872,-6.9e-13,1.02022e-07,-1.02023e-07
1860.0,2.0,3.0,0.0,0.5,1.52261,6.07e-12,9.98172e-08,-9.98367e-08
1920.0,2.0,3.0,0.0,0.5,1.522442,7.8e-13,9.77064e-08,-9.76955e-08
1980.0,2.0,3.0,0.0,0.5,1.52229,-6e-13,9.56105e-08,-9.56285e-08
2040.0,2.0,3.0,0.0,0.5,1.52207,5.2e-13,9.35911e-08,-9.35907e-08
2100.0,2.0,3.0,0.0,0.5,1.521914,1.6e-13,9.16806e-08,-9.16896e-08
2160.0,2.0,3.0,0.0,0.5,1.521764,-2.22e-12,8.98303e-08,-8.98155e-08
2220.0,2.0,3.0,0.0,0.5,1.521554,4.7e-13,8.80473e-08,-8.80499e-08
2280.0,2.0,3.0,0.0,0.5,1.521308,-8.2e-13,8.63203e-08,-8.63006e-08
2340.0,2.0,3.0,0.0,0.5,1.521196,-1.59e-12,8.45857e-08,-8.45794e-08
2400.0,2.0,3.0,0.0,0.5,1.520998,-5.2e-13,8.29718e-08,-8.2956e-08
2460.0,2.0,3.0,0.0,0.5,1.520954,-6.6e-13,8.13359e-08,-8.13375e-08
2520.0,2.0,3.0,0.0,0.5,1.520662,1.19e-12,7.9883e-08,-7.98805e-08
2580.0,2.0,3.0,0.0,0.5,1.520536,3.1e-13,7.83719e-08,-7.83728e-08
2640.0,2.0,3.0,0.0,0.5,1.520428,9.9e-13,7.69089e-08,-7.69062e-08
2700.0,2.0,3.0,0.0,0.5,1.520236,-1.5e-12,7.55021e-08,-7.55054e-08
2760.0,2.0,3.0,0.0,0.5,1.520056,6e-14,7.41004e-08,-7.40976e-08
2820.0,2.0,3.0,0.0,0.5,1.519924,1.26e-12,7.28059e-08,-7.27913e-08
2880.0,2.0,3.0,0.0,0.5,1.51971,-5e-14,7.15127e-08,-7.15107e-08
2940.0,2.0,3.0,0.0,0.5,1.51967,2.63e-12,7.02077e-08,-7.01974e-08
3000.0,2.0,3.0,0.0,0.5,1.519546,2.4e-13,6.89734e-08,-6.89737e-08
3060.0,2.0,3.0,0.0,0.5,1.519304,1.33e-12,6.77786e-08,-6.77817e-08
3120.0,2.0,3.0,0.0,0.5,1.51918,-1.9e-13,6.66059e-08,-6.66e-08
3180.0,2.0,3.0,0.0,0.5,1.51905,-1.3e-13,6.54756e-08,-6.54668e-08
3240.0,2.0,3.0,0.0,0.5,1.518998,-5e-14,6.43498e-08,-6.43499e-08
3300.0,2.0,3.0,0.0,0.5,1.518814,-1.32e-12,6.32861e-08,-6.32749e-08
3360.0,2.0,3.0,0.0,0.5,1.5187,-1.33e-12,6.22443e-08,-6.22479e-08
3420.0,2.0,3.0,0.0,0.5,1.518502,7e-13,6.12674e-08,-6.12654e-08
3480.0,2.0,3.0,0.0,0.5,1.518302,5.9e-13,6.02968e-08,-6.02885e-08
3540.0,2.0,3.0,0.0,0.5,1.518252,7e-13,5.92567e-08,-5.92564e-08
