VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
0.0,3.0,0.0,0.0,-0.01048,8e-14,6.8e-13,1.9e-13
0.05,3.0,0.0,0.0,-0.023274,-4.2e-13,3.23e-12,2.4e-13
0.1,3.0,0.0,0.0,-0.028142,-1.97e-12,2.052e-11,2.3e-13
0.15,3.0,0.0,0.0,-0.012914,1.78e-12,6.071e-11,1.3e-13
0.2,3.0,0.0,0.0,0.027116,-1.22e-12,7.989e-11,-4e-14
0.25,3.0,0.0,0.0,0.074688,1.07e-12,8.313e-11,1e-14
0.3,3.0,0.0,0.0,0.12425,-1.27e-12,8.617e-11,-4e-14
0.35,3.0,0.0,0.0,0.174228,1.81e-12,8.456e-11,5e-14
0.4,3.0,0.0,0.0,0.223516,-1.85e-12,8.615e-11,-3e-14
0.45,3.0,0.0,0.0,0.273246,9e-13,8.579e-11,-3e-14
0.5,3.0,0.0,0.0,0.323286,-2.7e-13,8.694e-11,1e-14
0.55,3.0,0.0,0.0,0.37275,-7.2e-13,8.574e-11,-6e-14
0.6,3.0,0.0,0.0,0.42253,-7e-13,8.78e-11,-7e-14
0.65,3.0,0.0,0.0,0.471904,-7.5e-13,8.692e-11,-3e-14
0.7,3.0,0.0,0.0,0.521954,0.0,8.812e-11,0.0
0.75,3.0,0.0,0.0,0.571962,-4.6e-13,8.723e-11,-1e-14
0.8,3.0,0.0,0.0,0.6216,2.9e-13,8.777e-11,-6e-14
0.85,3.0,0.0,0.0,0.671514,-4.2e-13,8.706e-11,-1e-14
0.9,3.0,0.0,0.0,0.72166,9.7e-13,8.84e-11,4e-14
0.95,3.0,0.0,0.0,0.771148,-7.7e-13,8.709e-11,0.0
1.0,3.0,0.0,0.0,0.821122,1.37e-12,8.884e-11,0.0
1.05,3.0,0.0,0.0,0.87122,-5.8e-13,8.784e-11,-7e-14
1.1,3.0,0.0,0.0,0.92117,-3.7e-13,8.73e-11,-1e-14
1.15,3.0,0.0,0.0,0.971312,1.2e-12,8.637e-11,4e-14
1.2,3.0,0.0,0.0,1.020842,-1.83e-12,8.744e-11,-2e-14
1.25,3.0,0.0,0.0,1.070874,1.22e-12,8.661e-11,1e-14
1.3,3.0,0.0,0.0,1.12085,-2.7e-13,8.855e-11,0.0
1.35,3.0,0.0,0.0,1.170472,-6.7e-13,8.651e-11,-2e-14
1.4,3.0,0.0,0.0,1.220288,1.17e-12,8.922e-11,3e-14
1.45,3.0,0.0,0.0,1.270402,-1.4e-12,8.8e-11,-2e-14
1.5,3.0,0.0,0.0,1.320138,1.54e-12,8.866e-11,-1e-14
1.55,3.0,0.0,0.0,1.370354,-3.1e-13,8.721e-11,0.0
1.6,3.0,0.0,0.0,1.420808,-1.9e-13,8.799e-11,-4e-14
1.65,3.0,0.0,0.0,1.470318,4.3e-13,8.646e-11,2e-14
1.7,3.0,0.0,0.0,1.520758,-2.3e-13,8.663e-11,-1e-14
1.75,3.0,0.0,0.0,1.570742,-3.5e-13,8.422e-11,-5e-14
1.8,3.0,0.0,0.0,1.620742,-6.03e-12,8.581e-11,-3.1e-13
1.85,3.0,0.0,0.0,1.670702,-4.02e-12,8.576e-11,-9e-14
1.9,3.0,0.0,0.0,1.720362,1.7e-13,8.625e-11,7e-14
1.95,3.0,0.0,0.0,1.770466,4.7e-13,8.541e-11,6e-14
2.0,3.0,0.0,0.0,1.820574,-1.08e-12,8.678e-11,-6e-14
2.05,3.0,0.0,0.0,1.870374,8.2e-13,8.497e-11,1e-14
2.1,3.0,0.0,0.0,1.920364,1.3e-13,8.651e-11,-2e-14
2.15,3.0,0.0,0.0,1.970318,-1.13e-12,8.668e-11,1e-14
2.2,3.0,0.0,0.0,2.020164,2.72e-12,8.632e-11,9e-14
2.25,3.0,0.0,0.0,2.070264,-1.28e-12,8.573e-11,-4e-14
2.3,3.0,0.0,0.0,2.120056,1.29e-12,8.564e-11,-8e-14
2.35,3.0,0.0,0.0,2.170262,-5.3e-13,8.455e-11,-4e-14
2.4,3.0,0.0,0.0,2.22024,4e-14,8.463e-11,1e-14
2.45,3.0,0.0,0.0,2.26986,6.6e-13,8.616e-11,-4e-14
2.5,3.0,0.0,0.0,2.31976,-1.12e-12,8.653e-11,-4e-14
2.55,3.0,0.0,0.0,2.3699,1.34e-12,8.738e-11,2e-14
2.6,3.0,0.0,0.0,2.41946,-2.34e-12,8.648e-11,-5e-14
2.65,3.0,0.0,0.0,2.46962,1.31e-12,8.735e-11,-2e-14
2.7,3.0,0.0,0.0,2.5198,6.7e-13,8.702e-11,4e-14
2.75,3.0,0.0,0.0,2.5696,-7.2e-13,8.659e-11,-7e-14
2.8,3.0,0.0,0.0,2.61978,-2.2e-13,8.61e-11,-1e-14
2.85,3.0,0.0,0.0,2.66984,9.4e-13,8.732e-11,0.0
2.9,3.0,0.0,0.0,2.7196,-1.15e-12,8.573e-11,-4e-14
2.95,3.0,0.0,0.0,2.7697,1.28e-12,8.671e-11,2e-14
3.0,3.0,0.0,0.0,2.81902,-2.8e-13,8.576e-11,-5e-14
0.0,3.0,0.0,0.5,-1.6e-05,-3.48e-12,3.2e-13,8.95e-12
0.05,3.0,0.0,0.5,-1.8e-05,-1.42e-12,1.03e-12,1.223e-11
0.1,3.0,0.0,0.5,-1.8e-05,8.3e-13,6.11e-12,7.82e-12
0.15,3.0,0.0,0.5,2.4e-05,-1.03e-12,3.792e-11,-2.307e-11
0.2,3.0,0.0,0.5,0.000262,1.92e-12,2.2009e-10,-2.037e-10
0.25,3.0,0.0,0.5,0.001368,4.1e-12,1.04214e-09,-1.02214e-09
0.3,3.0,0.0,0.5,0.005054,2.99e-12,3.7162e-09,-3.68123e-09
0.35,3.0,0.0,0.5,0.013398,-3.8e-13,9.50816e-09,-9.47899e-09
0.4,3.0,0.0,0.5,0.027318,3e-14,1.83116e-08,-1.82511e-08
0.45,3.0,0.0,0.5,0.047432,-1.58e-12,2.94307e-08,-2.93916e-08
0.5,3.0,0.0,0.5,0.073496,-1.98e-12,4.12145e-08,-4.11762e-08
0.55,3.0,0.0,0.5,0.10466,-1.9e-12,5.19399e-08,-5.19051e-08
0.6,3.0,0.0,0.5,0.141512,-7.1e-13,6.07524e-08,-6.07163e-08
0.65,3.0,0.0,0.5,0.182408,-9e-14,6.67588e-08,-6.6727e-08
0.7,3.0,0.0,0.5,0.227674,1.46e-12,7.02919e-08,-7.0263e-08
0.75,3.0,0.0,0.5,0.275424,1.27e-12,7.1901e-08,-7.18932e-08
0.8,3.0,0.0,0.5,0.323722,5.8e-13,7.24932e-08,-7.24685e-08
0.85,3.0,0.0,0.5,0.373418,-8e-13,7.25882e-08,-7.25663e-08
0.9,3.0,0.0,0.5,0.423322,-1.25e-12,7.25857e-08,-7.25516e-08
0.95,3.0,0.0,0.5,0.472572,-1.76e-12,7.24919e-08,-7.24564e-08
1.0,3.0,0.0,0.5,0.522596,-7.6e-13,7.23862e-08,-7.23706e-08
1.05,3.0,0.0,0.5,0.572652,-1.1e-13,7.22839e-08,-7.22589e-08
