VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
0.0,3.0,0.0,0.0,0.03758,3.07e-12,2.0002e-10,-1.7252e-10
0.05,3.0,0.0,0.0,0.07564,6.23e-12,3.1122e-10,-2.1469e-10
0.1,3.0,0.0,0.0,0.123,1.58e-12,3.3612e-10,-2.2814e-10
0.15,3.0,0.0,0.0,0.1723,-5.83e-12,3.4404e-10,-2.3087e-10
0.2,3.0,0.0,0.0,0.22262,2.44e-12,3.4644e-10,-2.3215e-10
0.25,3.0,0.0,0.0,0.2719,1e-13,3.4746e-10,-2.3291e-10
0.3,3.0,0.0,0.0,0.32208,-4.1e-12,3.5026e-10,-2.3317e-10
0.35,3.0,0.0,0.0,0.37238,-3.14e-12,3.5092e-10,-2.3352e-10
0.4,3.0,0.0,0.0,0.42176,-5.41e-12,3.5059e-10,-2.3343e-10
0.45,3.0,0.0,0.0,0.4721,4.18e-12,3.527e-10,-2.3406e-10
0.5,3.0,0.0,0.0,0.5221,-1.221e-11,3.5363e-10,-2.3419e-10
0.55,3.0,0.0,0.0,0.57188,1.141e-11,3.5364e-10,-2.3495e-10
0.6,3.0,0.0,0.0,0.62184,-1.31e-12,3.5413e-10,-2.3508e-10
0.65,3.0,0.0,0.0,0.6717,-1.17e-12,3.5416e-10,-2.3551e-10
0.7,3.0,0.0,0.0,0.72168,5.83e-12,3.5457e-10,-2.3598e-10
0.75,3.0,0.0,0.0,0.77226,-3.28e-12,3.5393e-10,-2.3582e-10
0.8,3.0,0.0,0.0,0.82156,4.85e-12,3.5357e-10,-2.3657e-10
0.85,3.0,0.0,0.0,0.87208,-6.63e-12,3.5299e-10,-2.3616e-10
0.9,3.0,0.0,0.0,0.9222,-1.68e-12,3.5323e-10,-2.3623e-10
0.95,3.0,0.0,0.0,0.97194,3.47e-12,3.5198e-10,-2.37e-10
1.0,3.0,0.0,0.0,1.02174,2e-14,3.5839e-10,-2.3675e-10
1.05,3.0,0.0,0.0,1.07224,3.7e-13,3.525e-10,-2.3716e-10
1.1,3.0,0.0,0.0,1.12222,-1.44e-12,3.5177e-10,-2.3762e-10
1.15,3.0,0.0,0.0,1.17202,3.71e-12,3.5334e-10,-2.3721e-10
1.2,3.0,0.0,0.0,1.22186,9.2e-13,3.5331e-10,-2.3791e-10
1.25,3.0,0.0,0.0,1.27184,-5.25e-12,3.5473e-10,-2.3812e-10
1.3,3.0,0.0,0.0,1.32218,-4.83e-12,3.5462e-10,-2.3809e-10
1.35,3.0,0.0,0.0,1.37186,-4.98e-12,3.5416e-10,-2.3845e-10
1.4,3.0,0.0,0.0,1.422,2.97e-12,3.5379e-10,-2.3866e-10
1.45,3.0,0.0,0.0,1.47244,-4.76e-12,3.5436e-10,-2.3838e-10
1.5,3.0,0.0,0.0,1.52176,1e-13,3.5402e-10,-2.3884e-10
1.55,3.0,0.0,0.0,1.57232,7.15e-12,3.54e-10,-2.3882e-10
1.6,3.0,0.0,0.0,1.6224,1.81e-12,3.535e-10,-2.3903e-10
